名称, 购买链接, 单价,所属类别, 数量,总额, 描述, 型号
4067,https://detail.tmall.com/item.htm?_u=f202183fbd71d4&id=692645144312&spm=a1z09.2.0.0.53802e8dpcbRg8,1.37,"IC, 子板元件",1,1.37,16个按钮的i/o拓展ic,CD74HC4067M96 SOIC-24
mcp23017,https://item.taobao.com/item.htm?_u=f202183fbd3312&id=755560235410&spm=a1z09.2.0.0.53802e8dpcbRg8,5.1,"IC, 子板元件",1,5.1,8个encoder的拓展ic,MCP23017-E/SO 贴片 SOP-28
max7219,https://item.taobao.com/item.htm?_u=f202183fbd1c23&id=615828078210&spm=a1z09.2.0.0.53802e8dpcbRg8&skuId=4900726339770,1.1,"IC, 子板元件",1,1.1,4个16led的ec11灯环,MAX7219CWG SOP24
tb6612fng,https://item.taobao.com/item.htm?_u=f202183fbde8af&id=607254624071&spm=a1z09.2.0.0.53802e8dpcbRg8&skuId=5205675671358,7,"主板元件, 元件模块",2,14,电动推子驱动ic,TB6612FNG
FFC/FPC连接件,https://detail.tmall.com/item.htm?_u=f202183fbda82a&id=626563665786&spm=a1z09.2.0.0.53802e8dpcbRg8,0.2,"主板元件, 子板元件",2,0.4,子主板连接部件,FFC/FPC 1.0mm-14P-翻盖下接
ws2812_RGBLED,https://item.taobao.com/item.htm?_u=f202183fbdb778&id=733895338208&spm=a1z09.2.0.0.53802e8dpcbRg8,0.08,子板元件,4,0.32,rgbled,ws2812b_1210
电容电阻等,,,"PCB小元件, 主板元件, 子板元件",,0,4MΩ 100nf 10uf 10k贴片电阻,
10k贴片电阻,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.53802e8dpcbRg8&id=739043743825&_u=f202183fbdcd3e,0.15,"PCB小元件, 主板元件, 子板元件",13,1.95,侧边ec11、子板ec11旋钮的AB引脚上拉电阻,10K （一件100只）精度：1%精度阻值：0805贴片电阻
0.1uf贴片电容,https://detail.tmall.com/item.htm?_u=f202183fbdccdb&id=744920698405&spm=a1z09.2.0.0.53802e8dpcbRg8,0.03,"PCB小元件, 子板元件",5,0.15,max7219、rgbled滤波,0805 100NF 0.1UF 10% 25V 50个
10uf贴片电容,https://detail.tmall.com/item.htm?_u=f202183fbd6e30&id=19327803085&spm=a1z09.2.0.0.53802e8dpcbRg8,0.256,"PCB小元件, 子板元件",1,0.256,max7219滤波,25V 10UF 体积4*5.4mm
400uf电解电容,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.53802e8dpcbRg8&id=611726699981&_u=f202183fbd1568,0.129,"PCB小元件, 主板元件",2,0.258,电动推子读值滤波,直插25V 470UF 体积8X12
4.3MΩdip电阻,https://item.taobao.com/item.htm?_u=f202183fbd3981&id=657636293268&spm=a1z09.2.0.0.53802e8dpcbRg8,0.029,"PCB小元件, 主板元件",4,0.116,电动推子电容感应电路电阻,4.3M数量：1/4W 1%（100只）
0.1ufdip电容,https://item.taobao.com/item.htm?_u=f202183fbdc7b7&id=560981290395&spm=a1z09.2.0.0.53802e8dpcbRg8,0.03,"PCB小元件, 主板元件",7,0.21,电动推子模拟输入口滤波,瓷片电容 104 0.1uF 100NF 50V
电动推子,https://item.taobao.com/item.htm?_u=f202183fbd6603&id=565414327389&skuId=5187797482224&spm=a1z09.2.0.0.53802e8dpcbRg8,35,主板元件,4,140,电动推子,日本推子雅马哈m7clls9电位器RSA0N11M9A0J
EC11,https://item.taobao.com/item.htm?_u=f202183fbdef1d&id=770659040644&spm=a1z09.2.0.0.53802e8dpcbRg8,1.5,子板元件,4,6,旋钮,插件-薄型半圆D柄15长[带开关]脉冲定位：15脉冲30定位
侧边EC11,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.53802e8dpcbRg8&id=655360561536&_u=f202183fbd7c99,2.3,主板元件,1,2.3,侧边翻页旋钮,柄长=20mm轴型：半圆轴脉冲定位：15脉冲30位正向
3vto5v,https://detail.tmall.com/item.htm?_u=s202183fbd09cc&id=674616282888&spm=a1z09.2.0.0.f05f2e8d9XiBlQ,8.55,主板元件,1,8.55,电压转化,无针0.7-5V转5V
